#jdstart-2463963   jdend-2463963    elevation      azimuth  flag        throw
       4.9583333       5.0000000      50.0000      297.063     1      40.0000
       5.0000000       5.0416667      50.0000      282.730     0      90.0000
       5.0416667       5.0833333      50.0000      279.029     0      90.0000
       5.0833333       5.1250000      50.0000      275.510     0      90.0000
       5.1250000       5.1666667      50.0000      271.690     0      90.0000
       5.1666667       5.2083333      50.0000      245.000     0      90.0000
       5.2083333       5.2500000      50.0000      89.8535     0      90.0000
       5.2500000       5.2916667      50.0000      85.6167     0      90.0000
       5.2916667       5.3333333      50.0000      82.0890     0      90.0000
       5.3333333       5.3750000      50.0000      78.4742     0      90.0000
       5.3750000       5.4166667      57.6667      55.0000     1      40.0000
       5.4166667       5.4583333      70.0000      53.0000     1      40.0000
       5.4583333       5.5000000      68.1206      179.784     1      40.0000
       5.5000000       5.5416667      64.9511      205.552     1      40.0000
       5.5416667       5.5833333      57.2157      220.844     1      40.0000
       5.5833333       5.6250000      50.0000      227.859     1      40.0000
       5.6250000       5.6666667      50.0000      230.236     1      40.0000
       5.6666667       5.7083333      50.0000      226.000     1      40.0000
       5.7083333       5.7500000      50.0000      237.000     1      40.0000
       5.7500000       5.7916667      50.0000      50.2045     1      40.0000
       5.7916667       5.8333333      58.6553      29.4763     1      40.0000
       5.8333333       5.8750000      62.2313      359.671     1      40.0000
       5.8750000       5.9166667      58.5147      330.000     1      40.0000
       5.9166667       5.9583333      50.0000      309.463     1      40.0000
       5.9583333       6.0000000      50.0000      296.357     1      40.0000
       6.0000000       6.0416667      50.0000      282.616     0      90.0000
       6.0416667       6.0833333      50.0000      278.879     0      90.0000
       6.0833333       6.1250000      50.0000      275.291     0      90.0000
       6.1250000       6.1666667      50.0000      271.278     0      90.0000
       6.1666667       6.2083333      50.0000      245.000     0      90.0000
       6.2083333       6.2500000      50.0000      90.5059     0      90.0000
       6.2500000       6.2916667      50.0000      85.9302     0      90.0000
       6.2916667       6.3333333      50.0000      82.3090     0      90.0000
       6.3333333       6.3750000      50.0000      78.6543     0      90.0000
       6.3750000       6.4166667      57.3333      55.0000     1      40.0000
       6.4166667       6.4583333      70.0000      53.0000     1      40.0000
       6.4583333       6.5000000      68.1092      181.658     1      40.0000
       6.5000000       6.5416667      64.5501      206.893     1      40.0000
       6.5416667       6.5833333      56.6182      221.508     1      40.0000
       6.5833333       6.6250000      50.0000      228.129     1      40.0000
       6.6250000       6.6666667      50.0000      230.283     1      40.0000
       6.6666667       6.7083333      50.0000      227.000     1      40.0000
       6.7083333       6.7500000      50.0000      238.000     1      40.0000
       6.7500000       6.7916667      50.0000      243.000     1      40.0000
       6.7916667       6.8333333      58.0000      27.7731     1      40.0000
       6.8333333       6.8750000      64.3333      357.564     1      40.0000
       6.8750000       6.9166667      66.3333      328.355     1      40.0000
       6.9166667       6.9583333      60.3333      308.420     1      40.0000
       6.9583333       7.0000000      50.0000      295.668     1      40.0000
       7.0000000       7.0416667      50.0000      282.494     0      90.0000
       7.0416667       7.0833333      50.0000      278.720     0      90.0000
       7.0833333       7.1250000      50.0000      275.057     0      90.0000
       7.1250000       7.1666667      50.0000      270.844     0      90.0000
       7.1666667       7.2083333      50.0000      245.000     0      90.0000
       7.2083333       7.2500000      50.0000      91.2034     0      90.0000
       7.2500000       7.2916667      50.0000      86.2620     0      90.0000
       7.2916667       7.3333333      50.0000      82.5405     0      90.0000
       7.3333333       7.3750000      50.0000      78.8431     0      90.0000
       7.3750000       7.4166667      57.6667      55.0000     1      40.0000
       7.4166667       7.4583333      70.0000      45.0000     1      40.0000
       7.4583333       7.5000000      68.0681      183.528     1      40.0000
       7.5000000       7.5416667      64.1305      208.184     1      40.0000
       7.5416667       7.5833333      56.0130      222.138     1      40.0000
       7.5833333       7.6250000      50.0000      228.379     1      40.0000
       7.6250000       7.6666667      50.0000      230.318     1      40.0000
       7.6666667       7.7083333      50.0000      227.000     1      40.0000
       7.7083333       7.7500000      50.0000      237.000     1      40.0000
       7.7500000       7.7916667      50.0000      245.000     1      40.0000
       7.7916667       7.8333333      64.3333      133.000     1      40.0000
       7.8333333       7.8750000      69.6667      54.0000     1      40.0000
       7.8750000       7.9166667      50.0000      12.0000     1      40.0000
       7.9166667       7.9583333      50.0000      350.000     1      40.0000
       7.9583333       8.0000000      61.0000      304.000     1      40.0000
       8.0000000       8.0416667      50.0000      282.364     0      90.0000
       8.0416667       8.0833333      50.0000      278.550     0      90.0000
       8.0833333       8.1250000      50.0000      274.811     0      90.0000
       8.1250000       8.1666667      50.0000      270.390     0      90.0000
       8.1666667       8.2083333      50.0000      245.000     0      90.0000
       8.2083333       8.2500000      50.0000      91.9457     0      90.0000
       8.2500000       8.2916667      50.0000      86.6119     0      90.0000
       8.2916667       8.3333333      50.0000      82.7836     0      90.0000
       8.3333333       8.3750000      50.0000      79.0406     0      90.0000
       8.3750000       8.4166667      57.3333      55.0000     1      40.0000
       8.4166667       8.4583333      69.6667      40.0000     1      40.0000
       8.4583333       8.5000000      67.9975      185.386     1      40.0000
       8.5000000       8.5416667      63.6932      209.423     1      40.0000
       8.5416667       8.5833333      55.4007      222.736     1      40.0000
       8.5833333       8.6250000      50.0000      228.612     1      40.0000
       8.6250000       8.6666667      50.0000      230.342     1      40.0000
       8.6666667       8.7083333      50.0000      226.000     1      40.0000
       8.7083333       8.7500000      50.0000      238.000     1      40.0000
       8.7500000       8.7916667      56.0000      339.000     1      40.0000
       8.7916667       8.8333333      50.0000      317.000     1      40.0000
       8.8333333       8.8750000      70.0000      148.000     1      40.0000
       8.8750000       8.9166667      69.6667      51.0000     1      40.0000
       8.9166667       8.9583333      50.0000      291.323     0      90.0000
       8.9583333       9.0000000      50.0000      286.445     0      90.0000
       9.0000000       9.0416667      50.0000      282.224     0      90.0000
       9.0416667       9.0833333      50.0000      278.370     0      90.0000
       9.0833333       9.1250000      50.0000      274.552     0      90.0000
       9.1250000       9.1666667      50.0000      269.916     0      90.0000
       9.1666667       9.2083333      50.0000      245.000     0      90.0000
       9.2083333       9.2500000      50.0000      92.7330     0      90.0000
       9.2500000       9.2916667      50.0000      86.9799     0      90.0000
       9.2916667       9.3333333      50.0000      83.0382     0      90.0000
       9.3333333       9.3750000      50.0000      79.2467     0      90.0000
       9.3750000       9.4166667      57.0000      55.0000     1      40.0000
       9.4166667       9.4583333      70.0000      42.0000     1      40.0000
       9.4583333       9.5000000      67.8978      187.229     1      40.0000
       9.5000000       9.5416667      63.2391      210.612     1      40.0000
       9.5416667       9.5833333      54.7816      223.302     1      40.0000
       9.5833333       9.6250000      50.0000      228.828     1      40.0000
